STATE,STATE_CODE,GENERATION(MWH)
Alaska,AK,556603049.4
Alabama,AL,12273274796.16
Arkansas,AR,4893653295.36
Arizona,AZ,9197116484.39
California,CA,17098322106.6
Colorado,CO,4451067501.04
Connecticut,CT,2994236611.44
District of Columbia,DC,10167309.16
Delaware,DE,587067079.22
Florida,FL,19419158564.53
Georgia,GA,11025797230.54
Hawaii,HI,901465130.6
Iowa,IA,4585295630.78
Idaho,ID,1211589308.28
Illinois,IL,16411093599.52
Indiana,IN,9890730092.28
Kansas,KS,4161406486.92
Kentucky,KY,7492253638.01
Louisiana,LA,8435200837.89
Massachusetts,MA,3081018016.34
Maryland,MD,3694048649.71
Maine,ME,1289787884.79
Michigan,MI,9624956149.05
Minnesota,MN,4721860520.31
Missouri,MO,7358832769.03
Mississippi,MS,4659174830.22
Montana,MT,2361308454.85
North Carolina,NC,10818459731.07
North Dakota,ND,3059918986.2
Nebraska,NE,2993842970.87
New Hampshire,NH,1695082187.77
New Jersey,NJ,5567687466.26
New Mexico,NM,2987952138.34
Nevada,NV,3134808852.87
New York,NY,11678400468.71
Ohio,OH,11709906611.01
Oklahoma,OK,6256690316.16
Oregon,OR,4878830685.47
Pennsylvania,PA,18857544076.09
Rhode Island,RI,613878810.33
South Carolina,SC,8421800620.37
South Dakota,SD,883936118.29
Tennessee,TN,7331871730.08
Texas,TX,36627754300.86
Utah,UT,3450059423.08
Virginia,VA,6932382494.97
Vermont,VT,419077872.07
Washington,WA,9291492518.72
Wisconsin,WI,5376099859.44
West Virginia,WV,6772590295.45
Wyoming,WY,3951874239.09
